seller_id,user_id,store_name,store_description,contact_info,address
0,10,Edwards-Davidson,User-friendly even-keeled emulation,001-666-955-1657x970,"6993 Thomas Street
Brittanyport, WI 33354"
1,11,Duran-Cuevas,Advanced exuding capability,380-506-2811,"01181 Kyle Road
Heidistad, OR 21969"
2,12,"Powell, Elliott and Garcia",Seamless dynamic Internet solution,747.421.1751x7918,"819 Soto Gardens Suite 262
West Alexandra, UT 44203"
3,13,"Stevens, Rice and Caldwell",Object-based non-volatile adapter,001-771-324-9932x6950,"3877 Hebert Mountain
South Margaretside, DC 99941"
4,21,"Tucker, Schmidt and Young",Switchable interactive moratorium,619-613-8295,"460 Bradley Park Suite 340
South Erikaland, VT 41643"
5,23,Rogers and Sons,Enhanced responsive moderator,001-686-512-1447x8772,"679 Morales Street Apt. 994
East Emilytown, NH 77301"
6,26,Savage-Clark,Quality-focused system-worthy customer loyalty,634.736.8265x7220,"785 Jeremy Lock
West Lauraville, OK 88895"
7,29,"Medina, Mcdonald and Carter",Multi-lateral system-worthy secured line,498.218.9564,"403 Curtis Locks Suite 325
East Tamarahaven, RI 10875"
8,31,Ray Group,Implemented reciprocal complexity,258-886-4689,"842 Glover Shoal
Johnbury, IL 82857"
9,32,Jones-Harris,Quality-focused discrete circuit,+1-511-493-2358x539,"549 Wilson Key
Ballport, NV 28210"
10,33,Evans Inc,Adaptive non-volatile hardware,001-310-560-1950x90093,"319 Stacey Club Suite 814
North Adrianmouth, NJ 04570"
11,34,"Simpson, Estrada and Smith",De-engineered 6thgeneration utilization,(592)938-5773,"6180 Church Trail Suite 232
South Valeriefurt, IA 37176"
12,39,Levine and Sons,Triple-buffered optimizing definition,+1-320-552-1701x970,"72014 Carlson Field Suite 657
Lake Janet, HI 60233"
13,42,"Hudson, Lopez and Thompson",Triple-buffered full-range parallelism,001-418-953-3831x14940,"150 Stacy Street Apt. 892
Navarromouth, KS 36075"
14,43,"Anderson, Collins and Jimenez",Face-to-face content-based Internet solution,(981)325-4704x337,"2810 Amanda Gateway
East Carol, FL 44139"
15,44,Harvey Ltd,Face-to-face bi-directional migration,636-470-4950x890,"96857 Gross Center Apt. 485
South Jessica, DC 84003"
16,45,Clark-Moore,Vision-oriented incremental moderator,(810)891-8841,"8084 Mark Rue Suite 506
Johntown, IN 93215"
17,50,"Boyd, Burgess and Torres",User-friendly bifurcated hierarchy,370.525.9403,"11274 Briggs Manors Apt. 341
Michaelhaven, NE 28832"
18,53,Calhoun Ltd,Future-proofed exuding website,(430)308-5330x6067,"209 Keith Cove
New Stephen, NJ 97215"
19,54,Wong-Powell,Streamlined contextually-based forecast,769-602-6959,"74037 Mayer Drives Apt. 392
Port Waynemouth, GU 99676"
20,55,Clark and Sons,Universal object-oriented Graphical User Interface,001-916-360-5796x6005,"9701 Gibbs Manor Suite 419
New Josephhaven, MP 60459"
21,56,Johnson-Murphy,Cross-platform real-time structure,970-269-9923x15244,"PSC 5815, Box 5927
APO AE 18684"
22,57,Mendez-Ramirez,Fundamental holistic infrastructure,(284)305-1818x748,"470 Vasquez Burg Suite 937
Deborahberg, DC 31431"
23,59,Khan PLC,Down-sized disintermediate capability,(915)372-5057,"06952 John Canyon Apt. 201
Osbornton, TX 96866"
24,60,Reynolds-Howard,Cloned intermediate alliance,328.951.0146x818,"510 Gregory Curve
East Michaelfurt, TN 85086"
25,63,Clements Inc,Diverse value-added instruction set,782.717.0473,"27432 Timothy Islands
Donnamouth, CT 07489"
26,64,Wilkinson Ltd,Optimized human-resource open architecture,4586685964,"9400 Michelle Plains
Port Cassandraburgh, PA 92630"
27,65,Wood-Chang,Team-oriented grid-enabled flexibility,(775)432-5945,"069 Amy Coves
Walkerview, MA 97828"
28,66,White-Weaver,Optional logistical throughput,001-760-514-9132,"00301 Stephen Neck Apt. 873
East Michael, HI 46650"
29,68,"Navarro, Medina and Rogers",Progressive didactic interface,(728)819-8611x041,"132 Jones Village Apt. 741
Hintonmouth, WV 61117"
30,69,Smith-Wright,Multi-layered maximized collaboration,494-955-2458,"2097 Morris Drives Suite 314
South Alexanderchester, WI 10662"
31,72,May-Chen,Reverse-engineered bifurcated algorithm,239-893-2909x7588,"87170 Peterson Port Suite 502
East Russellbury, PW 11111"
32,74,Landry Group,Secured full-range implementation,288.304.3083x974,"66410 Jimmy Corner
Lake Conniebury, CA 03541"
33,75,Robinson Group,Synergistic bandwidth-monitored success,628-897-7956,"74151 Lloyd Valley
West Andrewbury, NM 06500"
34,82,"Santana, Berg and Sullivan",Mandatory multi-tasking matrices,4355594035,"868 Alexa Drive
North Scott, AK 55148"
35,83,Murphy Inc,Persistent dedicated model,+1-741-629-2748x65225,"8371 Torres Inlet Suite 343
Charleshaven, AL 71836"
36,84,Rowland-Mendez,Centralized coherent time-frame,531.789.6273x80294,"44328 Williams River
South Elizabeth, WV 93328"
37,85,"Juarez, Green and Jones",Decentralized zero administration functionalities,715-370-1205x274,"PSC 2657, Box 2985
APO AP 90634"
38,88,"Davila, Davis and Anderson",Vision-oriented eco-centric utilization,590.980.6804x70779,"683 Wilkinson Lake
Sandraview, MN 86533"
39,89,Thomas Ltd,Implemented clear-thinking initiative,001-334-965-3581,"148 Donna Squares
Port Ronald, FL 45175"
40,90,Jones-Lamb,Organized contextually-based product,001-834-578-5248,"93515 Cortez Forks
Rivershaven, FM 96053"
41,91,Mack-Gardner,Fundamental non-volatile parallelism,001-403-689-5318,"4078 Williams Lodge Suite 781
Lake Randyview, WV 57679"
42,94,Barnes-Hall,Organized radical pricing structure,753-293-8032,"77315 Kathryn Locks
New Donald, IL 21568"
43,95,Cochran-Bauer,Managed dynamic focus group,299-868-4896x171,"113 Tran Fords Apt. 577
Jeremyfurt, GA 91589"
44,98,Mccullough-Le,Implemented content-based Graphic Interface,+1-367-633-9866x944,"5650 Gardner Station Apt. 083
West Patrickton, IN 74861"
45,99,Waller-Coleman,Public-key bifurcated encoding,+1-666-829-1417x818,"35655 Parker Freeway Apt. 607
Steinburgh, IA 48227"
46,100,Berry-Reed,Re-contextualized demand-driven utilization,406-255-7156x61507,"Unit 8759 Box 5274
DPO AP 95328"
47,101,Miller PLC,Implemented object-oriented approach,(256)742-4856x5075,"23946 Julia Station
Shelbyburgh, MN 32913"
48,102,Figueroa-Harrison,Reverse-engineered needs-based infrastructure,(456)577-7907x6930,"59313 Kiara Lodge Suite 092
North Alexville, VA 29299"
49,103,"Diaz, Rivera and Davis",Programmable full-range installation,(807)949-8860x280,"47121 Jennings Mission
Santiagofurt, AS 87727"
50,104,"Turner, Smith and Johnson",Face-to-face full-range attitude,663.312.3629,"6240 Gutierrez Port
Rosalesside, IN 25739"
51,106,Anderson-Hood,Open-architected content-based focus group,5536693757,"60673 James Ford
Anitaview, NH 62512"
52,109,Wallace-Henry,Programmable zero tolerance orchestration,3396707594,"730 Aaron Ranch Suite 876
New Jacob, MI 43033"
53,113,Cox-Rodriguez,Enterprise-wide secondary migration,425.284.9882,"02457 James Creek
Port Philip, DC 84160"
